productivity,mpc,wage,search_prob,error
0.3,0.7,2500.0,0.2,77144322892.25081
0.3,0.7,2500.0,0.3,77084437611.02235
0.3,0.7,2500.0,0.4,77055453334.20863
0.3,0.7,3000.0,0.2,77144322892.25081
0.3,0.7,3000.0,0.3,77084437611.02235
0.3,0.7,3000.0,0.4,77055453334.20863
0.3,0.7,3500.0,0.2,77144322892.25081
0.3,0.7,3500.0,0.3,77084437611.02235
0.3,0.7,3500.0,0.4,77055453334.20863
0.3,0.75,2500.0,0.2,77144322892.25081
0.3,0.75,2500.0,0.3,77084437611.02235
0.3,0.75,2500.0,0.4,77055453334.20863
0.3,0.75,3000.0,0.2,77144322892.25081
0.3,0.75,3000.0,0.3,77084437611.02235
0.3,0.75,3000.0,0.4,77055453334.20863
0.3,0.75,3500.0,0.2,77144322892.25081
0.3,0.75,3500.0,0.3,77084437611.02235
0.3,0.75,3500.0,0.4,77055453334.20863
0.3,0.8,2500.0,0.2,77144322892.25081
0.3,0.8,2500.0,0.3,77084437611.02235
0.3,0.8,2500.0,0.4,77055453334.20863
0.3,0.8,3000.0,0.2,77144322892.25081
0.3,0.8,3000.0,0.3,77084437611.02235
0.3,0.8,3000.0,0.4,77055453334.20863
0.3,0.8,3500.0,0.2,77144322892.25081
0.3,0.8,3500.0,0.3,77084437611.02235
0.3,0.8,3500.0,0.4,77055453334.20863
0.5,0.7,2500.0,0.2,76864101432.16443
0.5,0.7,2500.0,0.3,76764455889.30733
0.5,0.7,2500.0,0.4,76716934302.99484
0.5,0.7,3000.0,0.2,76864101432.16443
0.5,0.7,3000.0,0.3,76764455889.30733
0.5,0.7,3000.0,0.4,76716934302.99484
0.5,0.7,3500.0,0.2,76864101432.16443
0.5,0.7,3500.0,0.3,76764455889.30733
0.5,0.7,3500.0,0.4,76716934302.99484
0.5,0.75,2500.0,0.2,76864101432.16443
0.5,0.75,2500.0,0.3,76764455889.30733
0.5,0.75,2500.0,0.4,76716934302.99484
0.5,0.75,3000.0,0.2,76864101432.16443
0.5,0.75,3000.0,0.3,76764455889.30733
0.5,0.75,3000.0,0.4,76716934302.99484
0.5,0.75,3500.0,0.2,76864101432.16443
0.5,0.75,3500.0,0.3,76764455889.30733
0.5,0.75,3500.0,0.4,76716934302.99484
0.5,0.8,2500.0,0.2,76864101432.16443
0.5,0.8,2500.0,0.3,76764455889.30733
0.5,0.8,2500.0,0.4,76716934302.99484
0.5,0.8,3000.0,0.2,76864101432.16443
0.5,0.8,3000.0,0.3,76764455889.30733
0.5,0.8,3000.0,0.4,76716934302.99484
0.5,0.8,3500.0,0.2,76864101432.16443
0.5,0.8,3500.0,0.3,76764455889.30733
0.5,0.8,3500.0,0.4,76716934302.99484
0.7,0.7,2500.0,0.2,76582630755.8913
0.7,0.7,2500.0,0.3,76445613921.32933
0.7,0.7,2500.0,0.4,76377985877.05817
0.7,0.7,3000.0,0.2,76582630755.8913
0.7,0.7,3000.0,0.3,76445613921.32933
0.7,0.7,3000.0,0.4,76377985877.05817
0.7,0.7,3500.0,0.2,76582630755.8913
0.7,0.7,3500.0,0.3,76445613921.32933
0.7,0.7,3500.0,0.4,76377985877.05817
0.7,0.75,2500.0,0.2,76582630755.8913
0.7,0.75,2500.0,0.3,76445613921.32933
0.7,0.75,2500.0,0.4,76377985877.05817
0.7,0.75,3000.0,0.2,76582630755.8913
0.7,0.75,3000.0,0.3,76445613921.32933
0.7,0.75,3000.0,0.4,76377985877.05817
0.7,0.75,3500.0,0.2,76582630755.8913
0.7,0.75,3500.0,0.3,76445613921.32933
0.7,0.75,3500.0,0.4,76377985877.05817
0.7,0.8,2500.0,0.2,76582630755.8913
0.7,0.8,2500.0,0.3,76445613921.32933
0.7,0.8,2500.0,0.4,76377985877.05817
0.7,0.8,3000.0,0.2,76582630755.8913
0.7,0.8,3000.0,0.3,76445613921.32933
0.7,0.8,3000.0,0.4,76377985877.05817
0.7,0.8,3500.0,0.2,76582630755.8913
0.7,0.8,3500.0,0.3,76445613921.32933
0.7,0.8,3500.0,0.4,76377985877.05817
0.6,0.6499999999999999,2000.0,0.30000000000000004,76604723137.31793
0.6,0.6499999999999999,2000.0,0.35000000000000003,76570858591.98415
0.6,0.6499999999999999,2000.0,0.4,76546978514.22197
0.6,0.6499999999999999,2000.0,0.45000000000000007,76530880502.99242
0.6,0.6499999999999999,2000.0,0.5,76519108586.55635
0.6,0.6499999999999999,2250.0,0.30000000000000004,76604723137.31793
