output,wages,consumption,unemployment,employed
43638.875,43638.875,28365.268749999992,0.50127,498.73
65490.25,65490.25,42568.66249999999,0.25154,748.46
76499.5,76499.5,49724.67499999999,0.12572,874.28
82010.25,82010.25,53306.66249999999,0.06274,937.26
84759.5,84759.5,55093.67499999999,0.03132000000000003,968.68
86100.875,86100.875,55965.56874999999,0.015990000000000015,984.01
86786.0,86786.0,56410.899999999994,0.008160000000000008,991.84
87125.5,87125.5,56631.57499999999,0.004280000000000003,995.72
87326.75,87326.75,56762.38749999999,0.0019800000000000017,998.02
87411.625,87411.625,56817.556249999994,0.001010000000000001,998.99
87455.375,87455.375,56845.993749999994,0.0005100000000000005,999.49
87476.375,87476.375,56859.64374999999,0.0002700000000000002,999.73
87486.875,87486.875,56866.46874999999,0.00015000000000000012,999.85
