productivity,mpc,wage,search_prob,error
0.3,0.7,50.0,0.2,27157742304.25763
0.3,0.7,50.0,0.3,20726628693.86478
0.3,0.7,50.0,0.4,17414403543.876987
0.3,0.7,75.0,0.2,12468268293.567835
0.3,0.7,75.0,0.3,6860833470.419156
0.3,0.7,75.0,0.4,4167238197.719227
0.3,0.7,100.0,0.2,6762192347.673917
0.3,0.7,100.0,0.3,4661628977.938067
0.3,0.7,100.0,0.4,4119774793.63191
0.3,0.75,50.0,0.2,27163169415.931694
0.3,0.75,50.0,0.3,20723949799.088184
0.3,0.75,50.0,0.4,17413194323.14663
0.3,0.75,75.0,0.2,12470231065.821331
0.3,0.75,75.0,0.3,6861271122.458638
0.3,0.75,75.0,0.4,4167318877.87858
0.3,0.75,100.0,0.2,6764862100.782524
0.3,0.75,100.0,0.3,4658610837.7920065
0.3,0.75,100.0,0.4,4119774793.63191
0.3,0.8,50.0,0.2,27161996318.133736
0.3,0.8,50.0,0.3,20727938301.76355
0.3,0.8,50.0,0.4,17415728090.378704
0.3,0.8,75.0,0.2,12475020103.160868
0.3,0.8,75.0,0.3,6864452496.46931
0.3,0.8,75.0,0.4,4167519751.123628
0.3,0.8,100.0,0.2,6765015561.209952
0.3,0.8,100.0,0.3,4660145337.923985
0.3,0.8,100.0,0.4,4119774793.63191
0.5,0.7,50.0,0.2,27196738433.39779
0.5,0.7,50.0,0.3,20801707920.17625
0.5,0.7,50.0,0.4,17383344568.93645
0.5,0.7,75.0,0.2,12509677027.296267
0.5,0.7,75.0,0.3,6895592862.778551
0.5,0.7,75.0,0.4,4149460046.5601916
0.5,0.7,100.0,0.2,6773534956.059527
0.5,0.7,100.0,0.3,4651864127.246598
0.5,0.7,100.0,0.4,4137952143.547329
0.5,0.75,50.0,0.2,27184536439.582253
0.5,0.75,50.0,0.3,20794339774.853336
0.5,0.75,50.0,0.4,17383016562.86916
0.5,0.75,75.0,0.2,12512037360.524889
0.5,0.75,75.0,0.3,6893365726.423943
0.5,0.75,75.0,0.4,4149460046.5601916
0.5,0.75,100.0,0.2,6770608191.606862
0.5,0.75,100.0,0.3,4651864127.246598
0.5,0.75,100.0,0.4,4137952143.547329
0.5,0.8,50.0,0.2,27185399407.31903
0.5,0.8,50.0,0.3,20794836489.052727
0.5,0.8,50.0,0.4,17383125703.073055
0.5,0.8,75.0,0.2,12506762005.498652
0.5,0.8,75.0,0.3,6893686748.685025
0.5,0.8,75.0,0.4,4149460046.5601916
0.5,0.8,100.0,0.2,6779275599.552909
0.5,0.8,100.0,0.3,4651864127.246598
0.5,0.8,100.0,0.4,4137952143.547329
0.7,0.7,50.0,0.2,27123736770.53733
0.7,0.7,50.0,0.3,20787954735.319847
0.7,0.7,50.0,0.4,17381194394.057686
0.7,0.7,75.0,0.2,12432643319.798355
0.7,0.7,75.0,0.3,6897231181.688048
0.7,0.7,75.0,0.4,4145152829.8475943
0.7,0.7,100.0,0.2,6762043780.216415
0.7,0.7,100.0,0.3,4639953854.838152
0.7,0.7,100.0,0.4,4123434947.9305305
0.7,0.75,50.0,0.2,27106468786.965313
0.7,0.75,50.0,0.3,20790375913.245968
0.7,0.75,50.0,0.4,17381194394.057686
0.7,0.75,75.0,0.2,12425754618.177979
0.7,0.75,75.0,0.3,6897231181.688048
0.7,0.75,75.0,0.4,4145152829.8475943
0.7,0.75,100.0,0.2,6762502430.695527
0.7,0.75,100.0,0.3,4639953854.838152
0.7,0.75,100.0,0.4,4123434947.9305305
0.7,0.8,50.0,0.2,27111907768.088436
0.7,0.8,50.0,0.3,20788704702.998596
0.7,0.8,50.0,0.4,17384641345.264656
0.7,0.8,75.0,0.2,12425877648.07479
0.7,0.8,75.0,0.3,6897231181.688048
0.7,0.8,75.0,0.4,4145152829.8475943
0.7,0.8,100.0,0.2,6759824688.640076
0.7,0.8,100.0,0.3,4639953854.838152
0.7,0.8,100.0,0.4,4123434947.9305305
0.19999999999999998,0.6499999999999999,75.0,0.30000000000000004,6890694433.694502
0.19999999999999998,0.6499999999999999,75.0,0.35000000000000003,5291013519.523504
0.19999999999999998,0.6499999999999999,75.0,0.4,4169902802.966427
0.19999999999999998,0.6499999999999999,75.0,0.45000000000000007,3297716865.249859
0.19999999999999998,0.6499999999999999,75.0,0.5,2644915654.844582
0.19999999999999998,0.6499999999999999,87.5,0.30000000000000004,4316613346.080624
0.19999999999999998,0.6499999999999999,87.5,0.35000000000000003,3226291915.1875744
0.19999999999999998,0.6499999999999999,87.5,0.4,2492042917.4062796
0.19999999999999998,0.6499999999999999,87.5,0.45000000000000007,1951771840.0558274
