output,wages,profits,consumption,unemployment,employed
43339.637,24936.5,18403.137,16208.724999999995,0.50127,498.73
64865.636,37322.0,27543.635999999995,24259.299999999996,0.25356,746.44
75907.15,43675.0,32232.149999999994,28388.74999999999,0.1265,873.5
81404.44399999999,46838.0,34566.443999999996,30444.69999999999,0.06324,936.76
84180.899,48435.5,35745.399,31483.07499999999,0.031290000000000026,968.71
85537.408,49216.0,36321.407999999996,31990.39999999999,0.015680000000000013,984.32
86214.359,49605.5,36608.859,32243.57499999999,0.007890000000000006,992.11
86556.745,49802.5,36754.244999999995,32371.62499999999,0.003950000000000004,996.05
86729.67599999999,49902.0,36827.676,32436.299999999992,0.0019600000000000017,998.04
86823.52799999999,49956.0,36867.528,32471.39999999999,0.0008800000000000008,999.12
86857.41900000001,49975.5,36881.919,32484.07499999999,0.0004900000000000004,999.51
86881.75099999999,49989.5,36892.251,32493.174999999992,0.0002100000000000002,999.79
86890.44099999999,49994.5,36895.941,32496.424999999992,0.0001100000000000001,999.89
