productivity,mpc,wage,search_prob,error
1.6,0.7,50.0,0.2,12655589344.153713
1.6,0.7,50.0,0.3,7004989457.425869
1.6,0.7,50.0,0.4,4251045841.018765
1.6,0.7,75.0,0.2,7226226279.857992
1.6,0.7,75.0,0.3,7727971041.112484
1.6,0.7,75.0,0.4,8790581804.215044
1.6,0.7,100.0,0.2,21797734816.84682
1.6,0.7,100.0,0.3,34436920620.31448
1.6,0.7,100.0,0.4,42778436554.735504
1.6,0.75,50.0,0.2,12655589344.153713
1.6,0.75,50.0,0.3,7004989457.425869
1.6,0.75,50.0,0.4,4251045841.018765
1.6,0.75,75.0,0.2,7226226279.857992
1.6,0.75,75.0,0.3,7727971041.112484
1.6,0.75,75.0,0.4,8790581804.215044
1.6,0.75,100.0,0.2,21797734816.84682
1.6,0.75,100.0,0.3,34436920620.31448
1.6,0.75,100.0,0.4,42778436554.735504
1.6,0.8,50.0,0.2,12655705797.323582
1.6,0.8,50.0,0.3,7004989457.425869
1.6,0.8,50.0,0.4,4251045841.018765
1.6,0.8,75.0,0.2,7225927848.109199
1.6,0.8,75.0,0.3,7727971041.112484
1.6,0.8,75.0,0.4,8790581804.215044
1.6,0.8,100.0,0.2,21796706092.510296
1.6,0.8,100.0,0.3,34436920620.31448
1.6,0.8,100.0,0.4,42778436554.735504
1.8,0.7,50.0,0.2,9755831395.717012
1.8,0.7,50.0,0.3,4936427078.839768
1.8,0.7,50.0,0.4,2723851282.767182
1.8,0.7,75.0,0.2,9804671629.833645
1.8,0.7,75.0,0.3,13612338032.253508
1.8,0.7,75.0,0.4,16753381852.298532
1.8,0.7,100.0,0.2,34473104980.32196
1.8,0.7,100.0,0.3,54265690687.19608
1.8,0.7,100.0,0.4,67066959132.79465
1.8,0.75,50.0,0.2,9755831395.717012
1.8,0.75,50.0,0.3,4936427078.839768
1.8,0.75,50.0,0.4,2723851282.767182
1.8,0.75,75.0,0.2,9804671629.833645
1.8,0.75,75.0,0.3,13612338032.253508
1.8,0.75,75.0,0.4,16753381852.298532
1.8,0.75,100.0,0.2,34473104980.32196
1.8,0.75,100.0,0.3,54265690687.19608
1.8,0.75,100.0,0.4,67066959132.79465
1.8,0.8,50.0,0.2,9755831395.717012
1.8,0.8,50.0,0.3,4936427078.839768
1.8,0.8,50.0,0.4,2723851282.767182
1.8,0.8,75.0,0.2,9804671629.833645
1.8,0.8,75.0,0.3,13612338032.253508
1.8,0.8,75.0,0.4,16753381852.298532
1.8,0.8,100.0,0.2,34473104980.32196
1.8,0.8,100.0,0.3,54265690687.19608
1.8,0.8,100.0,0.4,67066959132.79465
2.0,0.7,50.0,0.2,7807510660.670232
2.0,0.7,50.0,0.3,4125867918.9495745
2.0,0.7,50.0,0.4,2621825044.784114
2.0,0.7,75.0,0.2,14608936963.847057
2.0,0.7,75.0,0.3,22439157430.591072
2.0,0.7,75.0,0.4,27894179673.46838
2.0,0.7,100.0,0.2,51181120674.45128
2.0,0.7,100.0,0.3,79424994069.20996
2.0,0.7,100.0,0.4,96979805798.54704
2.0,0.75,50.0,0.2,7807510660.670232
2.0,0.75,50.0,0.3,4125867918.9495745
2.0,0.75,50.0,0.4,2621825044.784114
