productivity,mpc,wage,search_prob,error
1.6,0.7,50.0,0.2,9460935960.190756
1.6,0.7,50.0,0.3,4883975797.015364
1.6,0.7,50.0,0.4,2807888485.0194235
1.6,0.7,75.0,0.2,11020663521.64368
1.6,0.7,75.0,0.3,15748679386.892042
1.6,0.7,75.0,0.4,19341573761.05588
1.6,0.7,100.0,0.2,38305540896.20122
1.6,0.7,100.0,0.3,60067503529.88095
1.6,0.7,100.0,0.4,73800729818.30972
1.6,0.75,50.0,0.2,9389128541.396254
1.6,0.75,50.0,0.3,4855565426.517465
1.6,0.75,50.0,0.4,2806040670.5420403
1.6,0.75,75.0,0.2,11213646904.029148
1.6,0.75,75.0,0.3,16100303050.986942
1.6,0.75,75.0,0.4,19787224439.725914
1.6,0.75,100.0,0.2,38963778086.818146
1.6,0.75,100.0,0.3,61061987375.12985
1.6,0.75,100.0,0.4,74992827257.05127
1.6,0.8,50.0,0.2,9318919292.382742
1.6,0.8,50.0,0.3,4829242996.478694
1.6,0.8,50.0,0.4,2806587538.034173
1.6,0.8,75.0,0.2,11409625148.174128
1.6,0.8,75.0,0.3,16456624581.114891
1.6,0.8,75.0,0.4,20238263152.82736
1.6,0.8,100.0,0.2,39626805235.89845
1.6,0.8,100.0,0.3,62064822982.21524
1.6,0.8,100.0,0.4,76194503423.67085
1.8,0.7,50.0,0.2,7484673401.139696
1.8,0.7,50.0,0.3,4393078573.07375
1.8,0.7,50.0,0.4,3266492100.933029
1.8,0.7,75.0,0.2,17677298050.97405
1.8,0.7,75.0,0.3,27500114133.50135
1.8,0.7,75.0,0.4,34274016139.103703
1.8,0.7,100.0,0.2,60009091425.85098
1.8,0.7,100.0,0.3,92386457302.05568
1.8,0.7,100.0,0.4,112703368927.94339
1.8,0.75,50.0,0.2,7459945751.028543
1.8,0.75,50.0,0.3,4426208941.025343
1.8,0.75,50.0,0.4,3335108369.9519076
1.8,0.75,75.0,0.2,17976016137.090935
1.8,0.75,75.0,0.3,27989980615.432396
1.8,0.75,75.0,0.4,34878251091.08187
1.8,0.75,100.0,0.2,60855128289.05166
1.8,0.75,100.0,0.3,93626507184.63527
1.8,0.75,100.0,0.4,114177429595.18076
1.8,0.8,50.0,0.2,7436789049.977159
1.8,0.8,50.0,0.3,4461424751.188758
1.8,0.8,50.0,0.4,3406119780.4403014
1.8,0.8,75.0,0.2,18278268858.592297
1.8,0.8,75.0,0.3,28484539342.340034
1.8,0.8,75.0,0.4,35487875111.366455
1.8,0.8,100.0,0.2,61707448948.49139
1.8,0.8,100.0,0.3,94874898836.06218
1.8,0.8,100.0,0.4,115661070828.29622
2.0,0.7,50.0,0.2,6945063003.582256
2.0,0.7,50.0,0.3,5797881684.210368
2.0,0.7,50.0,0.4,5837866763.40873
2.0,0.7,75.0,0.2,27664281292.762024
2.0,0.7,75.0,0.3,43645233839.34172
2.0,0.7,75.0,0.4,53927254733.047264
2.0,0.7,100.0,0.2,87720267532.40047
2.0,0.7,100.0,0.3,132630503628.6901
2.0,0.7,100.0,0.4,159969255853.50818
2.0,0.75,50.0,0.2,6967870866.51504
2.0,0.75,50.0,0.3,5893388184.306284
2.0,0.75,50.0,0.4,5976765895.091483
2.0,0.75,75.0,0.2,28070134843.31859
2.0,0.75,75.0,0.3,44275695738.99304
2.0,0.75,75.0,0.4,54689545568.20097
2.0,0.75,100.0,0.2,88756927941.35243
2.0,0.75,100.0,0.3,134120722360.90173
2.0,0.75,100.0,0.4,161724233150.55258
2.0,0.8,50.0,0.2,6992251445.530556
2.0,0.8,50.0,0.3,5990983009.770818
2.0,0.8,50.0,0.4,6118059363.746685
2.0,0.8,75.0,0.2,28479527005.061306
2.0,0.8,75.0,0.3,44910856370.72375
2.0,0.8,75.0,0.4,55457223661.54271
2.0,0.8,100.0,0.2,89799879214.63528
2.0,0.8,100.0,0.3,135619294394.58792
2.0,0.8,100.0,0.4,163488787795.4867
1.4000000000000001,0.7,25.0,0.30000000000000004,32372901109.00175
1.4000000000000001,0.7,25.0,0.35000000000000003,30591395395.935734
1.4000000000000001,0.7,25.0,0.4,29270856986.19869
1.4000000000000001,0.7,25.0,0.45000000000000007,28262291834.40383
1.4000000000000001,0.7,25.0,0.5,27457369492.559776
1.4000000000000001,0.7,37.5,0.30000000000000004,16550770621.327768
1.4000000000000001,0.7,37.5,0.35000000000000003,14614453553.677465
1.4000000000000001,0.7,37.5,0.4,13193989658.923431
1.4000000000000001,0.7,37.5,0.45000000000000007,12114002977.742142
1.4000000000000001,0.7,37.5,0.5,11257700214.254704
1.4000000000000001,0.7,50.0,0.30000000000000004,7228562864.403501
1.4000000000000001,0.7,50.0,0.35000000000000003,5628062110.134718
1.4000000000000001,0.7,50.0,0.4,4481235210.264716
1.4000000000000001,0.7,50.0,0.45000000000000007,3618401030.7043347
1.4000000000000001,0.7,50.0,0.5,2944771678.42594
1.4000000000000001,0.7,62.5,0.30000000000000004,4406277838.228917
1.4000000000000001,0.7,62.5,0.35000000000000003,3632221065.307475
