period,mean,std,p5,p25,p50,p75,p95
0,36710.656640843714,1514.6253291506102,33941.17232775233,35620.26249089605,36811.263922169885,38050.21371246466,38839.0889921219
1,37005.15504022637,1492.5692759289457,34510.81387373781,35842.5214750378,37066.68242316648,38361.72982144913,39114.70336153858
2,37259.25834333399,1504.2679864775453,34750.801229365345,36100.70147046708,37282.405669539265,38598.87506082022,39452.103952906225
3,37518.79025417513,1522.0109916500262,34997.69084443676,36371.797057738564,37512.821776299985,38848.91379482659,39781.06140892991
4,37777.387256541966,1551.8743661508202,35207.882248599526,36638.983089545276,37723.6048941191,39081.781193022594,40160.70706308646
5,38037.20675815261,1595.8373402270804,35388.084231461726,36864.67851093308,37971.33231008187,39347.486949072365,40533.935611707646
6,38295.083306459506,1630.4306223757635,35601.11557671405,37107.81405380582,38212.714772325024,39598.29166264876,40886.545356813396
7,38556.71402000836,1679.431609411441,35772.65874302657,37334.822726734026,38458.90102397195,39879.381439519726,41271.72452806676
8,38819.5814652714,1737.4671167560987,35976.655067490115,37559.00962251736,38737.46935303083,40149.96072877142,41674.25348041177
9,39085.376080481445,1796.935305380553,36147.56926554469,37799.17885308384,38989.551417580384,40437.51900085151,42053.766974656566
10,39359.39922846147,1857.1036292225658,36344.79325214252,38027.52921681639,39279.54775392184,40720.295345302744,42463.59145911658
11,39634.16080262621,1921.4950003372608,36512.37367373864,38276.338627431935,39557.89772722361,41005.83837851262,42873.75795447658
12,39921.61375265379,1988.1794155786924,36727.16515702614,38519.06804764548,39835.994289633,41330.72128776233,43293.991435653195
