period,mean,std,p5,p25,p50,p75,p95
0,16757.98330763083,678.641228100917,15503.372796821594,16299.055945172026,16792.46703788242,17317.722864371,17743.690449488775
1,17025.324529744063,676.3246334651958,15891.604990667753,16503.213651863585,17037.945667279397,17604.060146075826,18018.299221267836
2,17118.608347273734,691.7568609798877,15957.307510422235,16611.389278106086,17098.63717881866,17678.94894270561,18199.37866757449
3,17229.473168165394,705.4442322113965,16061.045139536378,16724.714439911753,17190.8524711898,17805.26926363064,18339.77566141047
4,17334.057003789923,721.2042262793798,16120.660046419016,16835.31824906585,17289.066151523562,17908.21938814858,18477.070772870815
5,17439.041338000443,741.5984973082309,16203.294114013202,16899.735652920324,17422.54883140212,18016.754060878826,18624.362391219227
6,17539.96313353836,747.2479525726386,16278.902075364307,17021.090632165906,17515.696020353178,18110.46202123636,18739.177205935008
7,17656.482516058913,779.8942740442853,16358.593121100746,17115.185338464067,17624.343178242543,18224.30915589409,18945.597418633468
8,17777.840126641117,808.5448712910863,16444.572337121084,17226.46090461376,17740.394310496922,18345.834886906396,19140.881930996726
9,17880.86618468792,841.0370306324563,16501.044078488387,17300.23657900884,17842.15921967524,18472.89215997548,19300.58706225152
10,18018.49274728647,885.193136189213,16586.854915449087,17413.872089309796,17971.55149428151,18616.86843926042,19553.271420494326
11,18137.9928712673,910.1631581734895,16660.9695241652,17516.591803466967,18097.23111241674,18759.09384238266,19693.183495388763
12,18263.38226263441,935.4798889374158,16754.793269375517,17615.210697286217,18220.142940360107,18911.50810657069,19843.962390585904
