period,mean,std,p5,p25,p50,p75,p95
0,37757.82597746226,2227.423962357515,32007.421094677717,37019.86696239825,38886.39680765928,39344.97020328599,39744.852557654915
1,38095.324936587465,2085.383970064792,33655.378455887774,37190.462460311945,38982.1247406729,39615.558153890146,40048.97406032306
2,38492.29857711287,2046.3355030179089,34464.925551430715,37592.90831625155,39262.66306970549,39932.555373333584,40552.8102797081
3,38850.06320947035,2041.9370159315204,34801.49922560303,37897.05272633714,39539.384694547494,40278.35488812134,40989.442434131415
4,39211.38422050585,2037.6912690652855,35169.59763965,38414.28801785371,39784.82343815867,40633.4799097146,41499.762984169116
5,39563.49100442212,2099.172987936376,35418.89179523865,38679.90784426466,40099.05543136144,41004.29778727238,42097.794725873435
6,39915.08162057958,2149.794060981536,35678.58435725997,38955.64611097169,40406.05354742287,41388.227496312844,42576.70856871453
7,40287.35950951611,2228.9706775928385,35936.53426820284,39198.4293764625,40718.34571038348,41797.85120555511,43227.40345154746
8,40658.53481688923,2358.763673567848,36168.17028080498,39396.50202531454,41071.56231306733,42218.32019206702,43940.87405528018
9,41040.04833254042,2468.5837144362304,36406.38000855552,39679.7271993209,41419.428892968775,42646.530681754484,44587.29160712854
10,41399.741253454864,2560.812898090276,36611.98860575755,40045.75180220451,41748.863388158265,43048.3257735342,45146.38349519649
11,41780.11771153402,2676.4628561151394,36801.881533787055,40402.678054868076,42096.787626066274,43519.75721966429,45719.46650634205
12,42176.5423043592,2779.882765865002,37028.39939736545,40737.89198835963,42444.06366607376,44000.39229850958,46312.091245406424
