period,mean,std,p5,p25,p50,p75,p95
0,16757.98330763083,678.641228100917,15503.372796821594,16299.055945172026,16792.46703788242,17317.722864371,17743.690449488775
1,16882.91432469659,670.0431674881818,15748.769403416203,16383.400662061502,16894.825260361547,17474.637325708536,17862.12642205672
2,17001.524518164413,674.5764104589758,15873.712350476704,16500.57207722204,16998.58797344273,17585.639756087592,18017.7979095041
3,17116.551913403313,683.5740352686236,15979.775591149995,16621.209010938146,17098.71510188831,17692.854659353932,18162.176220173194
4,17231.24697973152,696.9046518495345,16069.50894815131,16740.215190957453,17197.45022652093,17795.24446117614,18328.359843540202
5,17347.12122506653,716.9304318168607,16146.425114332967,16844.99766254662,17309.97875502739,17911.154778111908,18495.4246721812
6,17462.04909651681,732.5614025725979,16236.586904479347,16954.348708545687,17415.76583100317,18026.34237166543,18651.399540414193
7,17577.81223993572,754.6748645237637,16311.002299547139,17054.696401065463,17526.31941543517,18155.635561758667,18818.035898409504
8,17695.694949016197,781.1292191617889,16397.041124609616,17156.01815177373,17654.218349476396,18280.80126329236,18991.134058282198
9,17814.961659183726,808.2346360434246,16470.60703568161,17260.416185618014,17765.71060651466,18406.749811816524,19159.56388009311
10,17936.894347784222,834.9852489064808,16558.148355099805,17362.456640517947,17894.746336352924,18532.046113762186,19333.80938345597
11,18059.729440715295,863.7505712141997,16634.318585139783,17472.00108748297,18027.321038582235,18667.977860267543,19524.535310125426
12,18186.93838210647,892.8384572101803,16722.46387897843,17578.026037438573,18148.668967817728,18808.82367547063,19696.100923150436
