period,mean,std,p5,p25,p50,p75,p95
0,76817.5535247513,2528.0732625085475,72289.22910337275,74817.72352741013,76963.24371415676,79216.42076725834,80072.16157539385
1,77420.09131579174,2493.561755009231,73291.59476443412,75398.61438841862,77442.86366701074,79811.25931278436,80795.60154757326
2,77956.24728438433,2518.563060050896,73767.54333782717,75992.45149655451,77940.50670515155,80252.39411072189,81558.04669719719
3,78493.0459935788,2571.345008795048,74196.11527348499,76573.3742946296,78421.1871452488,80774.20825261399,82295.30880223875
4,79028.95243422936,2644.6446631814747,74591.98198537467,77145.73665838703,78904.4263066668,81273.99314391932,83072.21956926382
5,79568.73268975681,2740.400361985577,74948.05284883599,77636.79992079572,79412.1049967246,81826.87180838712,83844.37089008703
6,80103.23808433357,2825.7662865583475,75341.41957889403,78145.21299902399,79966.91716817854,82362.6598978271,84574.44996914387
7,80646.0028363809,2938.650826455432,75711.54413060623,78613.90348776194,80484.51287933157,82940.60583535058,85374.60948446233
8,81191.75570729698,3068.2505884742063,76071.88902262384,79088.30292665126,81073.90653024171,83494.88126992901,86204.37416872256
9,81744.05522021661,3198.901262343872,76484.82497304567,79566.5291409803,81591.77700402224,84092.087168031,87041.62820252766
10,82311.64309211593,3330.919405100993,76827.6137643445,80031.07274811115,82168.62838656163,84669.19048746245,87872.39859994051
11,82880.90046428848,3469.993490915284,77200.50981248954,80538.61104684674,82758.72951781534,85314.54991365658,88699.05902001803
12,83475.03440520425,3615.653303607161,77610.40109117606,81015.27210096458,83333.50026994926,85975.21780003516,89623.620479229
