period,mean,std,p5,p25,p50,p75,p95
0,15341.551811228004,370.1191618694493,14746.64242519394,15015.120798575546,15340.394770968265,15641.88573666928,15918.86557462587
1,15409.57725467183,381.4850080276753,14806.986060096213,15079.90136040766,15403.18931587901,15736.767771398328,15996.141269074516
2,15512.869830985383,391.3792196324589,14917.567435779045,15182.339183258564,15492.823877598968,15861.847482601299,16116.900069468158
3,15612.226745784505,408.0785724478222,14988.806887816703,15283.666312849213,15572.628928588307,15957.462500324456,16259.04661668994
4,15710.479318328173,425.5596268481594,15057.503690464311,15371.168566450044,15672.083360350602,16066.525110727147,16393.77596592251
5,15815.708222755884,446.2623833357439,15150.152294199966,15463.503111818602,15778.522920808995,16167.706361002993,16557.100746612225
6,15918.936819301369,465.0746792819682,15226.841983024815,15554.114003137745,15880.335276048416,16275.443915540853,16711.328213195808
7,16021.73785758115,489.7639948307512,15292.322904036304,15643.46426164564,15983.823030194819,16383.502169535466,16867.840812422233
8,16128.076114389727,513.8846266390282,15359.85763752663,15740.01374686787,16088.49073354988,16499.93727194987,17022.874181011593
9,16237.9046195595,544.755662685119,15418.31191650062,15833.5299273155,16195.112669952356,16612.00001957989,17203.57485001139
10,16354.133463340342,577.7391330596595,15491.855315638755,15932.172128878281,16300.394375897744,16735.762952203826,17387.6836702661
11,16475.286467334983,613.8610581293634,15575.786783093436,16033.331901822174,16410.308671554114,16867.016731730528,17602.81774059579
12,16602.285776862896,647.3926679067948,15666.77905803926,16141.172977961394,16523.685586547603,16995.874672060752,17821.815843909724
