period,mean,std,p5,p25,p50,p75,p95
0,68284.3125249069,2222.4617638043123,64374.947195609166,66492.18365958557,68347.46706980627,70364.31409725269,71197.66406650674
1,68833.18186172826,2192.052181688861,65263.140781756854,67041.66855859224,68784.05978506082,70948.39250527501,71857.77873267207
2,69314.09248852829,2214.2718139154044,65696.79354922693,67590.70041940102,69238.22436383343,71341.66432096137,72529.72062240758
3,69796.20109688006,2262.397052930911,66047.92038333506,68116.06163587619,69670.9208719421,71806.50335256738,73190.00684119623
4,70276.32753291901,2330.375672061139,66404.55234813085,68617.66440599965,70124.26641160408,72251.2596227227,73891.6069019908
5,70759.75401235305,2416.7006405823586,66726.34736134327,69059.79105887843,70585.89283880041,72742.87069663487,74581.8701237326
6,71238.03754573503,2493.9101052450505,67089.65215063287,69516.28681537104,71083.42985591153,73217.63591149157,75239.7042433809
7,71723.94236903382,2596.177390288582,67407.00369611582,69941.6111378075,71560.49618747797,73743.10745380147,75957.2362888076
8,72211.66562632687,2711.8823647406075,67730.5210591014,70344.05641382399,72076.04198647971,74241.12024428013,76688.2427297635
9,72704.41078108293,2828.4015555154047,68091.4303061781,70764.26972259098,72547.77989079288,74753.48485991018,77443.16059934776
10,73211.75739140344,2947.0530098017025,68400.92485566826,71202.65317135099,73063.47608928679,75292.16876218692,78171.87905713692
11,73719.192279402,3070.4626957433347,68731.16019475037,71627.72892814058,73588.43406123016,75852.75002973147,78914.22570320356
12,74249.33283654177,3200.5262379180213,69088.36413755784,72069.23760762412,74105.45985902031,76456.08252062227,79724.75185450526
