period,mean,std,p5,p25,p50,p75,p95
0,37514.62804203328,1421.8619098416427,34726.082804195794,36627.99063749552,37722.10111907324,38756.80499561243,39439.24590383383
1,37737.27602975247,1408.1730468641304,35188.95002877847,36710.609466799535,37880.97288663464,38971.89980018825,39658.94335796442
2,37981.30486444153,1421.132765057565,35454.01834132492,36955.10665030786,38079.284918413425,39201.45856534382,39991.11974015545
3,38217.976222292455,1442.636247394521,35682.985953279254,37197.83584203291,38294.13559773193,39434.35621851983,40286.0464112874
4,38462.22631068446,1467.8153961021235,35895.37118131427,37447.67306968244,38494.85474853165,39673.05250186373,40630.51003094056
5,38709.61392771416,1507.642949892472,36054.84998492535,37676.21996195591,38729.27053752739,39932.037109052064,40974.1551247156
6,38954.362473557965,1542.362090160378,36250.55559431167,37898.81791897287,38967.48528354062,40183.0967736712,41288.34521525108
7,39202.81557855646,1586.5946486522512,36417.491302059316,38125.78843830648,39201.08781164111,40447.657569639996,41633.31115980203
8,39455.30893966824,1643.5865235986853,36595.32833481393,38332.05919236612,39479.52284017202,40716.37708283319,42008.210286757305
9,39714.559980959435,1700.1873370041615,36748.883596981934,38560.23140200639,39727.073097546745,40995.06687745266,42394.39846770235
10,39975.502921028514,1755.8497747076376,36935.48277492502,38794.925900680704,39991.464762718824,41257.16289957444,42769.26463124226
11,40244.05277530012,1819.0538137641806,37081.55934265597,39041.3150969774,40260.78258824251,41549.965787176385,43157.10279527806
12,40520.64474473671,1883.1487526723918,37283.563676068945,39272.182681043225,40537.09998783505,41856.86746542452,43565.2205105194
