period,mean,std,p5,p25,p50,p75,p95
0,37317.57525654349,2436.67575650605,31080.278466024407,36753.69722177617,38319.96184290529,39044.83020177724,39632.47572589688
1,37650.01479218335,2317.643113244903,32545.079059462016,36795.51313824157,38494.80171242732,39302.70131722589,39929.92560902097
2,37995.17981135939,2288.9082868282962,33347.689010997085,37070.62405673384,38784.97948646868,39579.57772647336,40420.06596554994
3,38305.641827720516,2281.0126084890944,33639.15258291183,37393.43268477981,39046.7190978172,39882.7603945934,40732.65538953846
4,38621.85702305562,2273.5886980444297,34130.28640185336,37704.9561681363,39278.257775687,40213.909790929276,41137.82593385432
5,38935.99002876857,2334.853095213397,34343.44208081342,37966.9383370288,39602.6606690718,40574.47020896891,41633.50399126555
6,39246.02138496473,2368.59902772801,34605.84856136254,38153.397262088314,39892.037992067024,40934.81921864776,42032.7147859866
7,39587.81527578299,2456.2561388243707,34856.6120738416,38317.13543576202,40211.50651842225,41294.09963333494,42646.52263325343
8,39939.056598158626,2581.3190471171074,35083.120486949716,38437.08410057286,40538.45211686459,41674.125220832924,43377.90721647071
9,40287.30241376448,2690.739737503872,35286.82078621276,38794.07674626879,40868.70198875178,42056.47196266471,43971.10536879941
10,40641.41370735738,2797.5054716724976,35469.55164260591,39234.306434312755,41188.57563490617,42427.829541362444,44598.4098229138
11,41010.408635299194,2899.082785507112,35570.15794545045,39586.7925737019,41525.40320533594,42852.786432923764,45136.02818474646
12,41391.82046906603,2988.820845281238,35710.31702716163,39935.259089518724,41836.26198939295,43328.45878633915,45702.70709127739
