period,mean,std,p5,p25,p50,p75,p95
0,30333.306441948684,619.8844445297386,29465.786614194276,29731.329019160068,30204.01849518819,30875.66493268476,31407.231021038977
1,30577.928440701908,629.3575668548636,29625.224268592745,30040.975047240558,30544.753305044316,31120.188949169045,31543.4668529505
2,30795.608162049764,652.0500861710059,29744.320899505183,30297.39780379373,30784.999332907464,31333.21760542217,31799.06410815424
3,31009.05489958715,695.4179175098228,29866.318015075984,30501.203909078515,31002.5101197606,31552.57069786765,32087.733315434896
4,31221.489107866204,742.5814546057555,29980.27850370075,30696.67007328206,31227.075835455573,31782.856290000276,32371.610729421744
5,31435.964658381625,789.6845747328143,30114.84184208434,30879.33503409034,31450.243087710376,32030.527143155057,32676.758431334914
6,31647.520211492825,837.6268534870608,30260.703729291556,31056.68013482613,31658.84208694228,32266.798728678146,32980.03719076799
7,31862.608756687518,894.3528577655642,30383.814012515224,31225.841071668114,31876.667704340853,32516.411734538466,33288.212372148475
8,32078.30893893547,951.7963557201309,30502.702986971828,31411.178172777894,32080.00977719169,32767.949939006627,33613.36998888713
9,32295.807227064906,1007.2465013573898,30665.1597933439,31599.494586895482,32280.6480310821,33003.734356470646,33935.8373357135
10,32519.4561938821,1064.6970166099366,30792.148626551567,31782.96479051501,32498.87240826418,33266.67665188963,34263.10282823324
11,32742.345198538926,1122.333153182803,30911.974742451315,31967.137374525715,32723.9628867579,33520.93861377184,34604.06663986296
12,32974.699099682126,1184.4379557270709,31062.94290225395,32157.2086132419,32945.49864631289,33790.23357429202,34954.70846416366
