period,mean,std,p5,p25,p50,p75,p95
0,16757.98330763083,678.641228100917,15503.372796821594,16299.055945172026,16792.46703788242,17317.722864371,17743.690449488775
1,16947.69282101481,668.40444223863,15850.08775612791,16418.000220186957,16957.002862477162,17529.05525800243,17935.31569269365
2,16961.247500152313,674.3412226353893,15853.662657332585,16449.891251660298,16937.59436337629,17524.158544251037,18013.93551599162
3,16991.080701488347,676.7416070907697,15901.441983446568,16480.895257196953,16945.584572940963,17569.123565292313,18047.412629484053
4,17013.87904308182,680.6772751116434,15906.706228540572,16507.600000566497,16951.190231719665,17592.747517215612,18080.48816133605
5,17037.232026834205,690.0921354669799,15944.506045819273,16498.209580540253,17017.507634371843,17599.783919075482,18122.35426029962
6,17055.566178933903,684.4660298124132,15968.868508573969,16529.677582731863,17034.952867296015,17608.878372519976,18139.08130582518
7,17088.154936316223,705.3257804257837,15987.1744505915,16533.172644240407,17054.58702016814,17651.99438561342,18237.381417289518
8,17123.4635107847,716.1717506553033,16018.24003725385,16575.290688315246,17060.501394754378,17682.06179687613,18322.01579472235
9,17140.379804830667,733.8386889403185,15992.861316474102,16592.983304955764,17077.284126636012,17723.739293587554,18347.21199383372
10,17188.45890615814,757.5440813854465,16017.967839696466,16624.568009938128,17129.170024522464,17753.279677803726,18472.250560021235
11,17217.30700559562,758.0072748055426,16030.704010734808,16630.068825339018,17185.005060609798,17811.923823610894,18466.030740863574
12,17250.79032585518,762.0407211756186,16047.026268337053,16674.153039911624,17228.342783521253,17862.687132560506,18477.29502483344
