period,mean,std,p5,p25,p50,p75,p95
0,37757.82597746226,2227.423962357515,32007.421094677717,37019.86696239825,38886.39680765928,39344.97020328599,39744.852557654915
1,37921.46561795573,2065.6894354603173,33453.79657625974,37170.92617386575,38821.03263922638,39452.78314496314,39868.94347933126
2,38138.18098276024,2004.3950178570049,34204.26637577518,37418.55427492506,38832.684618538944,39597.053477035806,40192.678376074684
3,38312.10523364202,1974.082373887152,34506.88142905728,37546.72556179725,38906.55416352363,39740.38284080529,40280.0603720688
4,38486.47019221286,1940.7778206239054,34692.55631884738,37819.33151054065,38913.56432329422,39879.95006282024,40441.20811293986
5,38650.854568283256,1970.5097974777507,34818.233400304714,37843.04637134798,39300.82742455841,40085.73726095983,40764.69007900555
6,38811.16208608356,1987.1859131781803,34944.618262841526,37961.87619501176,39508.348369468986,40214.31592804907,41026.2018176819
7,38988.14840462766,2025.202303334328,35064.34874190951,37935.86924409675,39614.764557850736,40336.09050774193,41192.74926416308
8,39159.113682000694,2112.2243421036706,35181.9827550027,37637.01137724946,39770.32295786545,40432.85147127754,41977.91465652712
9,39336.44170516543,2169.85122610241,35296.20718552895,38145.631120183694,39998.56935178637,40561.36733331094,42370.13021805499
10,39487.89600437731,2207.5588939985983,35407.985361208215,38455.545792709905,40033.47003717833,40666.72703426364,42475.15899310828
11,39653.811858647445,2261.846032921005,35516.38771345048,38559.42540877767,40376.94094274304,40884.44611783525,42570.87206493866
12,39831.2715924933,2300.9436801737284,35620.34138363169,38696.32123819298,40571.96456090115,41145.29275351828,42667.17438447446
