period,mean,std,p5,p25,p50,p75,p95
0,16757.98330763083,678.641228100917,15503.372796821594,16299.055945172026,16792.46703788242,17317.722864371,17743.690449488775
1,16805.982080800808,663.4024628690177,15696.649293673543,16303.33659596893,16807.397464140777,17391.092458349907,17782.298636032006
2,16845.304687139822,658.7933107148865,15778.483334188446,16343.242097807037,16834.757868755725,17423.721033501228,17836.6313858911
3,16879.79745660741,656.6458929139225,15823.18552989668,16386.761761858605,16855.039947535777,17451.393121372348,17876.91164580011
4,16913.061096569818,658.4115846759744,15864.919322297805,16431.154041688842,16862.487271677906,17470.140721871507,17931.708888166253
5,16947.46131700583,665.6764409416181,15892.57114713927,16461.456476996216,16894.842258815857,17510.5386821006,17997.38033228663
6,16979.76560469648,668.3384780716641,15934.473488490985,16474.877146305524,16927.459336458727,17538.73515593161,18032.596126554425
7,17011.87486707283,675.7828737425049,15963.360699908577,16485.41599715992,16956.76844052678,17579.06379352179,18075.866377312803
8,17044.251178052415,685.3613306195678,15986.140634375786,16502.02501309475,16989.521129202112,17622.010945615366,18129.868548866736
9,17076.984593965157,694.3518214256761,16012.02678019508,16513.35493208364,17022.818535452505,17667.51514440306,18176.208197403306
10,17110.46341738601,701.0816736148187,16046.802485945758,16539.679086412376,17057.98677854117,17692.496143187418,18222.322414732895
11,17142.99088407336,708.0981933917635,16071.122636111268,16571.63618818266,17104.40130658752,17732.524787785856,18261.307031467008
12,17178.484612301996,714.1166905691455,16100.05599188313,16599.589810480837,17149.003809116715,17768.304817428078,18303.718941313513
