period,mean,std,p5,p25,p50,p75,p95
0,76817.5535247513,2528.0732625085475,72289.22910337275,74817.72352741013,76963.24371415676,79216.42076725834,80072.16157539385
1,77067.20225321375,2457.9483026957746,73093.65117775145,75029.69399109516,77074.83878833035,79445.3973671833,80394.61755824201
2,77239.79083390467,2435.3853101080713,73323.76057226388,75241.01695225913,77168.57436128674,79587.57714616081,80658.23919105374
3,77407.1582233097,2430.314865789504,73534.68184477671,75432.9213570478,77290.88886505707,79738.98296398023,80857.417428241
4,77569.38577424949,2443.1077371819338,73666.20603058331,75656.69287416466,77353.27460749706,79874.03867888232,81121.95432071073
5,77735.23343189791,2472.156701728814,73821.23360942863,75803.51234698456,77412.88101699027,80034.49224622226,81422.25060596321
6,77890.4695124394,2489.7580203128127,73991.3808694895,75892.02752055613,77614.2159097312,80198.01812970347,81621.39574859875
7,78048.99707662506,2525.8841916566153,74145.72969481035,75966.34042797016,77779.60490794716,80379.46109009598,81860.40290180269
8,78202.26191223205,2571.004674791044,74248.84247321339,76072.13488120647,77920.27217212287,80595.8033391374,82100.88112161652
9,78357.35261910051,2612.4141270175164,74397.84687448766,76137.68877662544,78088.23111260592,80800.60074957953,82317.9852701424
10,78518.66259842791,2643.6808997122266,74575.29726280576,76253.92662130966,78278.59896862002,80956.75263760405,82521.87128777568
11,78673.22056719064,2674.6059898604785,74663.0348456827,76409.07103323506,78484.24497250521,81137.86418868863,82727.5713123885
12,78845.74845005141,2702.7014084010802,74818.1676622211,76551.3126493655,78716.30836623574,81320.11223320155,82933.4199460075
