period,mean,std,p5,p25,p50,p75,p95
0,15341.551811228004,370.1191618694493,14746.64242519394,15015.120798575546,15340.394770968265,15641.88573666928,15918.86557462587
1,15339.387210712874,375.2768709502936,14780.415412106551,15018.46315479039,15309.662743549303,15675.637234283684,15936.843528860514
2,15370.398397487064,376.1588783144798,14813.693348982659,15063.296049909553,15306.833547245393,15728.829457910153,15960.660798320141
3,15396.410006891969,382.02111964856215,14815.73014471655,15091.583288261128,15301.852008859612,15755.774607142297,15983.87502447943
4,15420.575430320707,388.7770502838306,14835.723099974159,15099.504997804528,15371.382327431362,15796.198307748275,16039.85031048661
5,15451.598582022516,397.17939781904835,14910.470671782261,15091.744025812663,15402.931950418671,15818.948050888364,16028.962497453012
6,15479.579867978731,402.6414198990897,14869.677762151889,15125.958345282275,15434.006582597369,15839.188623115191,16177.450384385626
7,15506.274771024473,413.16325525844354,14944.149490204029,15184.330890982876,15464.612313924266,15859.007562468736,16137.683254811993
8,15534.807177105391,421.07666492768215,14869.190863903701,15192.927076944376,15494.755192583281,15886.596489427131,16200.44704145376
9,15565.776606635436,433.90357028582855,14851.163873963324,15259.890671801624,15524.44122383355,15897.413371182793,16253.68792123985
10,15601.185719968033,446.72505729796774,14823.888756974009,15258.022059072846,15553.67636901372,15944.075834061176,16389.82056411273
11,15639.54948422994,460.4172552993268,14955.286228030543,15290.136937009007,15582.466544541554,15973.089474610146,16472.207894567757
12,15682.142378436654,465.3210474106053,14926.011475775473,15321.286864696362,15610.817621029106,15983.439126138392,16557.322677339485
