period,mean,std,p5,p25,p50,p75,p95
0,68284.3125249069,2222.4617638043123,64374.947195609166,66492.18365958557,68347.46706980627,70364.31409725269,71197.66406650674
1,68519.44807667866,2160.727919616403,65099.44128907716,66715.33373208434,68457.98716740284,70619.35100209016,71494.79760827446
2,68677.07491407442,2140.3325027777237,65282.9964459737,66912.93529595056,68558.4546266133,70750.07943898214,71727.9902418386
3,68830.63136498959,2136.3893332538614,65464.49621140514,67096.49994564445,68667.55153395911,70877.14504673069,71914.83697094623
4,68978.39739072742,2149.7490908368977,65589.56159453705,67283.7632917446,68732.4731941776,70988.64737748948,72160.48995596179
5,69129.2103502892,2175.967153218261,65724.7718485588,67430.63913446135,68792.49935236802,71140.56893590206,72439.59141281745
6,69270.12152863175,2192.354490049589,65878.82013918133,67515.51367038969,68963.44537880548,71278.80663516594,72629.82226338032
7,69414.18779288094,2225.4783273648104,66013.74727860047,67592.92152782231,69119.92621346147,71452.02985287341,72843.58773376384
8,69552.73948564556,2265.1852328484406,66101.86539195453,67704.05414230979,69245.41006381108,71638.46086643644,73058.3323282881
9,69692.13523290533,2301.739054013242,66245.3940921902,67755.61091938942,69401.67233541896,71830.19616571553,73251.40735292708
10,69837.98730547163,2329.689956390405,66403.75451314406,67868.36055076224,69566.07470857329,71964.80350132386,73435.9259398673
11,69976.4973795565,2356.0349405084044,66482.34970287273,67991.10973414121,69745.73226335543,72132.38629912672,73618.33633542455
12,70131.52643618228,2380.7338146631478,66633.61129417806,68119.61342145977,69958.95185430892,72279.7967769678,73809.55420187075
