period,mean,std,p5,p25,p50,p75,p95
0,37514.62804203328,1421.8619098416427,34726.082804195794,36627.99063749552,37722.10111907324,38756.80499561243,39439.24590383383
1,37565.285026465746,1392.3031537899888,35061.88510499635,36514.00848917396,37687.42199280626,38797.95247132912,39482.43361572205
2,37632.28986994457,1384.6125896942658,35237.37583539029,36591.13546831419,37699.16528202626,38875.12051518174,39585.59907223357
3,37689.357550915476,1381.3655330261113,35330.07043349719,36653.727930880945,37729.060688952115,38919.78843893766,39638.44753767502
4,37752.05647237249,1381.3556771947897,35433.04836898787,36741.68219476002,37752.23450843527,38981.45493624899,39706.0010546868
5,37817.89290214493,1393.1501624856587,35479.65551183906,36802.52294730669,37807.92489410353,39058.66718853553,39811.9147917122
6,37878.63859373392,1399.3573380781957,35556.927757023106,36794.57297517533,37879.25051657974,39128.82255100822,39867.65997615133
7,37940.86963087138,1411.8253692488715,35627.79928347584,36819.81135112479,37958.14045325549,39209.06439463443,39945.46811592111
8,38003.1529582747,1432.8023565052952,35674.61691256746,36832.01995625922,38024.958035327014,39278.28292786151,40047.768895204346
9,38069.81204583401,1449.4994067252671,35731.281578227834,36858.666991517865,38105.426866096845,39355.230174127864,40132.790398221514
10,38134.200684111005,1462.3031625549556,35792.42638868804,36920.06140295693,38185.971319614975,39415.94135893941,40229.70258469637
11,38201.85571052787,1478.1486185076928,35841.87182472663,36996.68357372838,38266.34821776697,39482.993613952756,40315.72395848134
12,38274.53632076613,1491.1870585921033,35894.59287017817,37056.762177692115,38350.94667798738,39576.828099653816,40406.48283336434
