period,mean,std,p5,p25,p50,p75,p95
0,37317.57525654349,2436.67575650605,31080.278466024407,36753.69722177617,38319.96184290529,39044.83020177724,39632.47572589688
1,37478.21455998763,2298.84318309938,32355.791897822957,36829.67785751109,38262.37764208873,39172.74776467848,39738.12402632931
2,37645.7415726504,2249.872099029613,33008.92737716828,37055.66405545828,38413.13337803247,39290.94922492196,40080.30226699129
3,37775.43889719064,2219.1270563146063,33179.65567999021,37223.70208364478,38527.40723387226,39404.34309763777,40026.33620559782
4,37908.232995104896,2187.3309672225505,33703.60022572077,37315.2815243258,38660.77353730803,39516.00208211295,40103.31452746933
5,38038.470720181314,2222.684827673906,33810.66431455067,37175.6740497748,38859.66104813323,39709.927588260674,40321.9344870541
6,38161.48142622089,2228.443235300363,33915.230604929144,37245.30469411798,39002.83805984215,39822.94362653401,40529.48440576609
7,38312.40437792411,2283.1377052403045,34012.52167840763,37120.00552789899,39118.90020316615,39957.498739145405,40632.66321542862
8,38467.56989106502,2369.205657097482,34113.58017284903,36866.6287285787,39232.7097751719,40103.94720567873,41574.576084672364
9,38616.55716691791,2432.151674003243,34208.63379000371,37455.712124735146,39342.50535314485,40206.760758151344,41850.633341588626
10,38766.35166336774,2489.730927661322,34294.28433396492,37747.314914307644,39450.57969352137,40364.954184405586,41930.40174540529
11,38925.02167991092,2532.489234240867,34240.50111405392,37891.198787795234,39554.87191964751,40570.10551808483,42178.531905057454
12,39092.071402648326,2563.238319970975,33939.61472186096,38046.29739153922,39666.51696970266,40745.11541080087,42240.28126504936
