period,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12,Sector_13,Sector_14,Sector_15,Sector_16,Sector_17,Sector_18,Sector_19,Sector_20,Sector_21,Sector_22,Sector_23,Sector_24,Sector_25,Sector_26,Sector_27,Sector_28,Sector_29,Sector_30,Sector_31,Sector_32,Sector_33,Sector_34,Sector_35,Sector_36,Sector_37,Sector_38,Sector_39,Sector_40,Sector_41,Sector_42,Sector_43,Sector_44,Sector_45,Sector_46,Sector_47,Sector_48,Sector_49,Sector_50,Sector_51,Sector_52,Sector_53,Sector_54,Sector_55,Sector_56,Sector_57,Sector_58,Sector_59,Sector_60,Sector_61,Sector_62
0,598.4043440395988,276.64743556154343,5.658884207991759,377.8405552614366,1198.808467379231,207.51129314048802,386.2316240256229,392.51298681929944,198.42630361247436,37.11175112768107,359.26799859534964,303.26666357697894,456.23648197757643,490.00427713463415,669.6028762253458,1078.5164754719647,525.0058687076111,796.4694123637316,1373.8807862197277,693.8460994197646,282.03558931778844,352.21851450248045,753.4385219131094,1199.6531279376816,143.30476794565453,678.2638634649915,4521.5697841985775,923.8082526416631,4436.789126972612,3218.435805175787,1937.8915778007513,5.66080449133131,86.01052574521022,1399.2032455289855,323.74895902440363,3632.7541071676073,323.4668166735462,252.42654927425616,556.4315625088684,1738.3219529106643,1927.452176187576,673.7174251877464,284.21659176214524,7499.364585020917,2143.633041425673,1220.6549346619252,1885.685259914868,431.37182979439996,246.00136093028658,1319.2024524776314,1059.3615513520813,129.86539893921366,1184.74966013227,3493.75918411777,3417.4621058115094,3533.695084046392,1165.7498646081108,594.5259508211533,294.771389038949,490.2660854032378,162.39721933575018,554.608933755362
1,597.7479050431409,276.34395821077277,5.652676511960521,377.42607084558165,1197.4933956633338,207.28365691689066,385.80793475552133,392.08240700515734,198.2086334619355,37.07104019214653,358.8738879461336,302.9339854032065,455.7359986147091,489.46675109687357,668.8683336963961,1077.3333619466885,524.429946542078,795.595699485289,1372.3736632621099,693.0849625031268,281.7262012575036,351.83213701278186,752.6120131615102,1198.3371296440614,143.14756514620797,677.5198199859677,4516.609702001483,922.7948513046603,4431.922047660353,3214.905237938792,1935.7657449664007,5.654594688783125,85.91617371755038,1397.668344280826,323.3938121342738,3628.7690400842266,323.111979288579,252.1496418079896,555.8211669122636,1736.4150444287552,1925.3377951921836,672.9783690712356,283.90481118067606,7491.13791452537,2141.2815138393894,1219.3158977578853,1883.6166964888716,430.89862251580354,245.73150178203156,1317.755310686473,1058.1994504402637,129.72293889020236,1183.4500106795476,3489.926591998512,3413.7132102390988,3529.8186829518704,1164.4710575943263,593.8737663533628,294.44803003126367,489.728272166408,162.21907245433337,554.0005375504536
2,607.3750766308542,280.8168696406538,5.725652740417906,378.43245324184034,1218.3174052608879,210.882279637411,392.8926682019245,399.3165320826144,201.83680186267938,37.71462536186681,365.10424757119875,308.0611077851982,463.6479678633469,497.99869469090567,680.7272856905606,1096.3225269280902,533.5345018605376,809.6923076919651,1397.00678030491,705.2641726323635,286.9716106375481,357.94024578397455,765.682291473434,1219.1897886154513,145.63460273805524,688.9723364299475,4595.034040199792,939.3288114514963,4508.8673434965995,3270.7255509214756,1970.5297072377666,5.75276332023858,87.4022560931844,1422.7171908453963,329.1024579059247,3692.5593235575816,328.4395993223295,256.3853806875539,565.5249623651829,1767.1373001316595,1959.4242775830498,684.9273776524708,288.83553400852196,7621.210963689566,2178.4661638683974,1240.4870332959938,1917.1133068471706,438.1871752141319,250.0404226647255,1340.7338597317223,1076.5117130640142,131.9778667713851,1203.9988175567873,3557.3195570932685,3479.58565238292,3595.357497814645,1184.691975169033,604.1873556838844,299.7216939921509,498.7821974138724,165.0353351971245,563.6199146021729
3,609.4258550452308,282.38401168016935,5.7905563670077465,392.10775651750447,1218.1243251692163,212.261955292129,392.3785550969208,400.1784273868647,202.2724517238779,37.910554671881876,366.0557943111138,307.9990825327123,465.03685382063856,498.8886848720101,681.4940831355726,1097.8333599475127,536.1618841580857,810.8917146486921,1397.205412056713,706.7864333704346,286.31595733171116,358.712833421135,767.4910954039823,1220.9151006227655,145.9901359651418,691.4170874978173,4601.87908971357,939.0191130373478,4503.41263062346,3265.3276749482693,1967.3818190207587,6.004778766548298,87.51643507357193,1425.7880210288038,329.51213595143076,3687.8550611439455,329.6925713239163,257.02333537953933,565.9348396670326,1769.5640441148423,1961.3781219011087,686.4057429179929,289.379515580587,7621.038247562369,2183.1707276733214,1241.3487570822008,1918.9126775714853,439.8269677896249,250.3623526096805,1342.9098861241528,1079.2030117629554,131.76109982050556,1205.3120576648898,3513.5522117052647,3441.0251845587145,3561.40325857945,1177.3291639760664,605.1441013331323,298.6621598443308,495.69511692595745,165.30204722173286,562.8791577870261
4,606.7727042869818,281.04964041329356,5.750136666353285,394.0730117348569,1216.1046246989204,211.421150540897,390.3137500944178,398.5932543746163,200.80664972026966,37.76038468749625,364.67977014572097,307.6308649337631,463.19476584172645,496.4235495024353,678.2955621665924,1091.9815216413085,534.0380581581911,808.2245446486983,1394.4692146198238,703.986735278436,286.44908675218085,357.29191248639785,763.2651542650622,1214.3307790789252,144.96852304473853,688.1257803632194,4574.7128377034205,932.939834225104,4480.139421847322,3247.1552411704056,1956.5375515761195,5.980992843585178,86.99047313585633,1413.9690690013078,327.4296410762582,3666.860820106739,327.7809926952146,255.8574141470701,562.8894695920561,1759.7987382469128,1949.131850984274,680.5383382654059,288.09017293367185,7572.598129176646,2170.4958085436688,1234.7147030891529,1907.329315690798,437.34158835605183,248.8769569858785,1334.2144278762485,1073.7289013876627,131.03442363086975,1197.5633677844478,3495.3284194504245,3423.8924204306404,3542.992297030955,1171.1844628700333,600.2511173103032,297.0489169372312,493.09693581589653,164.25027650142422,559.4800533756943
5,598.3695451346819,276.6212288371763,5.692746936792607,381.98352208822683,1195.9427486087736,208.67408125473304,385.58053319516597,393.41419218537425,198.21731182849166,37.26975074385956,359.94135777180924,300.92961781982973,457.1763135183199,489.3836574424818,669.6761822790068,1078.02774338165,527.0991140485178,797.7229991914559,1376.3503861169909,694.839588299834,282.7271531326612,352.6494931422375,752.5111500617546,1197.6505342223509,142.80195798420837,677.71513688042,4509.613565076269,921.1105372984445,4429.386113789408,3206.25463748193,1932.9064718624065,5.90327970230567,85.76126675362393,1395.41250429808,322.83600361923163,3623.6433522492557,322.5751798237118,252.1474420219249,554.8567533446769,1735.3080339767387,1922.4930660185723,674.8157520294988,283.79568879739736,7471.3268635231525,2139.4730370644543,1218.404113766619,1881.0960116762842,430.79098301697906,245.3822087768178,1315.4051576284692,1058.0836109292406,129.38205527253317,1180.6687340955687,3467.30381382594,3394.057184023853,3510.5697312402876,1158.9581142938614,591.9977211570571,293.52192869726497,487.76851906251454,161.93218313292397,552.3425211530465
6,599.4794145500672,277.6685192053942,5.7418064712816985,364.9163154819384,1208.0959461346772,210.4724140103882,390.5435388044988,397.38209122811054,200.36504574932468,37.59093779804091,363.0432970728416,306.28629906207334,461.11621412667716,493.3416445122567,676.5594788901873,1088.499107086483,531.6416024902429,804.5976977206233,1388.7536735773492,700.8276476890222,285.80421544388565,355.0192714883361,758.7399450181275,1208.3537380593839,144.05136720974366,681.8090244595559,4549.800399797553,931.9390001253599,4489.668371396519,3242.8753626439125,1956.6864559274227,5.954153587508739,86.53567137479807,1411.8071392986913,326.0597529537689,3660.4149527868567,324.44456685456737,253.63593703918295,560.1614307994511,1752.0497852851258,1942.1432271449505,679.4620170627196,286.5649728329087,7549.289964843684,2158.0575046380377,1231.2632576778863,1900.2783292805268,433.4874104986097,247.72012254183247,1327.6778454309142,1066.2221482287894,130.8776494871885,1192.2660605269987,3543.8559615256336,3464.728969158631,3577.6610370464364,1177.7680136175532,600.4405814622355,297.3601521856615,495.48703682996415,163.41855757242135,558.6157774567498
7,604.9834296920806,280.29485198303513,5.785960208998516,372.54406908064453,1217.276785255304,212.09091923364238,393.4813076461643,400.4379073231374,201.58517355878965,37.880007173842614,365.8350523504282,308.6416004751517,464.66213725711697,497.31180076154925,681.8646020526515,1097.3786999613812,535.7298565953893,810.7849483521715,1399.4544775026566,706.2169202629176,288.0020123274516,358.41802759194866,765.4141321297103,1218.3479296873954,145.5319902161358,687.6382692067779,4590.156811149082,939.0873807008792,4521.003067060658,3265.4853931465004,1970.6352356284992,5.999940246662315,87.29605122855833,1422.699372294016,329.1407968998861,3687.483012427922,329.42857599158106,255.43725739879642,564.950320925097,1767.3412873649102,1959.9209408650922,685.8551458282842,288.7700114225982,7613.3345843912375,2178.1611059788365,1240.9758263513443,1917.2552760649505,437.67704001818095,249.88605502033832,1340.4680933699085,1075.3606700637906,131.78855897821802,1203.087081834517,3550.1187710315794,3471.0482078247956,3589.0875186034627,1182.7793104286013,603.5273883808495,299.14632207883807,497.71526498847027,164.95177522459545,562.8030824965798
8,606.5803663347982,281.2018938031276,5.70864292603833,393.23086104939057,1217.5427184569603,212.40969170715644,393.60333613645076,401.0397900796287,202.31295836743737,37.93694315024713,366.3849248916957,309.1055077434614,465.36055297389623,498.2818446087116,682.7792181923003,1098.7756755822422,536.5350914562879,812.0036079019408,1401.5543219854353,707.2784076460861,288.43489703160805,358.95675189429176,766.7039167825283,1219.8115141112448,145.75346247662642,689.4144307665424,4596.155359191628,939.0958038997411,4519.305003815025,3264.430714030034,1970.2545692703325,6.008939311970504,87.39355832611767,1426.8561869612024,329.5267208391345,3687.0688807064034,328.29955165279927,255.93645937383172,565.4334206109442,1769.9493507517886,1961.6517806095396,684.5388848774702,289.35604630273656,7614.546744193402,2181.900979217118,1242.0801246363937,1919.133320381389,438.8003556522648,250.17289527644147,1341.8767819120555,1077.778707785203,131.74901170171375,1204.2618943645336,3533.096787588529,3457.1562315539113,3575.9896723394454,1181.2530910301043,602.8718580853223,298.8563197224802,496.73469268654026,165.41598045487913,562.5756145620359
9,604.2573052829978,280.41531521419165,5.669713599389322,379.3849831041564,1213.5127977778488,211.8723368614237,392.5214471085704,400.02523809387094,201.3398288296137,37.84097012840907,365.4580429154612,305.233949508164,464.18328207764927,496.8972246907202,681.0450977025208,1095.6775121918593,535.1777629410167,809.9493980865583,1398.0086645191675,705.4891320412064,287.705213332572,358.04866173414956,764.4720472397013,1216.3613706079832,145.1658067335549,687.4246370030511,4581.391864556385,936.2339842709184,4507.061900172782,3254.484357128967,1964.5818488434106,5.993737874450298,87.09383387074108,1419.0598317187992,329.2173146350826,3675.5643075704315,329.0866536588934,255.2548807374895,563.5568751978607,1764.5858856414745,1954.9314373285818,685.144827634697,288.316445270825,7588.481388563564,2174.6557438438367,1238.9008802027074,1912.9697637351846,437.2834453518954,249.31918210737032,1337.110823144282,1074.8607590388299,131.3504999794062,1199.8480842897923,3522.5512980352664,3447.2384796834936,3565.4700671711166,1176.3139638427594,600.9632135055574,297.9644621733182,495.2687838537526,164.58439788451878,560.7397031621322
