period,mean,std,p5,p25,p50,p75,p95
0,1240.3494421054147,171.63950730267388,967.9882533487846,1147.0329056988564,1251.545856533451,1344.0236990784576,1477.0330605878403
1,1250.0983807991884,171.36458294639297,986.0639511281065,1140.0468835865465,1257.993108438129,1374.7262803170365,1488.17596696154
2,1259.2259831412118,171.97916394702256,994.7252822536212,1144.4167808965794,1271.2805680982065,1389.166510941794,1501.9137836127443
3,1268.355943116476,172.91445691079522,1002.6523073481928,1147.478456329451,1274.9398660086183,1394.5526028943812,1515.3952123404588
4,1277.4511685120397,174.1292349411056,1009.3478367318726,1144.0949630735927,1280.9319581563104,1406.4216454086147,1530.184508066775
5,1286.5825958184362,175.740159525305,1014.76114025058,1154.241241302541,1289.8092308370751,1412.7354471937965,1544.6305548483156
6,1295.434027784322,177.11769846295223,1020.8693019326897,1160.13257142201,1297.8822952642417,1432.4482278289654,1558.0099254845768
7,1304.6195923372645,178.80567579141464,1026.5035060793552,1168.7546555583067,1306.1782076074314,1440.6564097936136,1571.8286943701853
8,1313.775222115328,181.0807500797612,1032.3648564812588,1169.505659943295,1315.2827379894234,1452.7674019846863,1587.587785066119
9,1323.2274735357698,183.79556673513346,1037.9509308698289,1175.0803442207177,1325.3013451281658,1464.9010567326238,1603.4886741713758
10,1332.9019690601,186.3351432584585,1043.790733956818,1175.165806667228,1335.20301895381,1476.7950167903502,1620.621139770205
11,1342.686278235084,188.94277834472638,1048.932874462704,1186.1506212817476,1345.072096368353,1490.9372628284327,1637.1234338386716
12,1353.0199842051122,191.39180902694838,1055.6156856221749,1197.4073588869812,1355.6053366013466,1501.8291334571873,1653.8338550571991
