period,mean,std,p5,p25,p50,p75,p95
0,30276.45159532119,1244.3601650612218,28000.768301636446,29375.066247930998,30361.500649699046,31385.67065226942,32018.892085720065
1,30519.34267105097,1226.230515997461,28470.71084782017,29559.848205011876,30572.0977476326,31635.87665365389,32246.108196590467
2,30728.91111439067,1235.8773360207183,28668.695474781453,29777.93869703408,30747.49382210081,31833.201439684846,32524.26078475158
3,30942.9565364271,1250.523388260861,28872.374323574735,29999.357767339876,30938.599756441632,32038.06524809509,32798.54048488202
4,31156.230368465007,1275.1832026947134,29045.77790400358,30217.69552642284,31114.156298494407,32231.263446769535,33110.690649456796
5,31370.514308238602,1311.556572656766,29194.440829417803,30401.44133400003,31318.305858817323,32449.457937832623,33417.59748416053
6,31583.195629266964,1340.1698222872358,29370.187302808987,30605.476415153542,31517.541482993634,32657.53171580652,33707.182867565076
7,31798.971978115518,1380.6737834149224,29511.59473656084,30792.866514735644,31719.24095665542,32887.2757040963,34024.35350953843
8,32015.76735757382,1428.6282016581483,29679.97683579455,30977.709219587206,31950.323733916175,33113.13376552713,34358.635982245316
9,32234.974365311933,1477.709980549042,29820.31701552674,31174.72702159143,32156.304893559944,33345.16353909046,34673.269255047475
10,32460.968813867046,1527.3835382686655,29980.110002367604,31365.623072421797,32394.031709697883,33584.45366456173,35011.31122780544
11,32687.573484764274,1580.577356953244,30121.258119395272,31568.426646488093,32624.95624592156,33820.42599113391,35345.58497009719
12,32924.643967983306,1635.631794672464,30298.112252442665,31770.924316161752,32854.07366255282,34088.68724934246,35697.26459846141
