predictor,period,seed
0,2013Q2,361
0,2013Q3,172
0,2013Q4,495
0,2010Q3,422
1,2013Q3,228
1,2012Q3,101
1,2012Q2,312
1,2011Q2,75
1,2011Q3,451
1,2011Q3,337
1,2012Q4,380
0,2012Q2,14
1,2011Q2,124
1,2012Q2,474
0,2010Q2,157
0,2010Q3,344
0,2013Q2,407
1,2010Q2,61
0,2010Q2,143
0,2010Q3,350
1,2011Q4,9
1,2010Q2,75
0,2013Q2,413
1,2012Q4,394
1,2011Q3,323
1,2010Q2,219
1,2011Q2,130
1,2012Q2,460
1,2012Q3,115
1,2012Q2,306
1,2011Q2,61
1,2011Q3,445
0,2013Q2,375
0,2013Q3,166
0,2013Q2,14
0,2010Q3,436
0,2013Q4,481
1,2013Q3,214
1,2011Q2,49
1,2010Q1,494
0,2012Q3,267
0,2011Q2,90
0,2011Q2,242
0,2010Q3,378
0,2011Q1,381
0,2012Q2,28
1,2011Q2,118
1,2010Q2,231
1,2012Q2,448
0,2010Q2,84
1,2010Q2,225
0,2010Q2,90
0,2011Q2,256
0,2011Q1,395
1,2010Q2,49
0,2013Q2,349
0,2013Q2,28
0,2012Q3,273
0,2011Q2,84
1,2012Q3,129
1,2013Q3,200
1,2010Q1,480
1,2011Q3,479
1,2012Q4,425
1,2011Q3,492
1,2012Q1,212
1,2011Q4,175
0,2011Q1,418
0,2013Q4,456
0,2013Q1,261
0,2012Q3,298
0,2012Q1,148
0,2010Q4,106
0,2010Q2,194
0,2010Q3,387
0,2013Q4,330
1,2012Q4,343
1,2010Q1,319
1,2012Q4,357
0,2010Q2,180
0,2013Q4,324
0,2010Q3,393
0,2013Q4,442
0,2013Q1,275
0,2010Q4,112
1,2011Q3,486
1,2012Q4,431
1,2010Q4,248
1,2012Q1,206
1,2011Q4,161
0,2011Q1,424
0,2011Q2,53
0,2012Q1,174
0,2011Q4,213
1,2012Q4,419
1,2010Q1,457
1,2011Q4,149
1,2013Q1,107
1,2010Q4,260
1,2013Q2,26
0,2010Q2,47
1,2010Q1,331
0,2011Q2,281
1,2012Q2,32
0,2011Q1,342
1,2012Q2,26
0,2011Q2,295
0,2013Q4,318
0,2011Q1,356
0,2010Q2,53
1,2010Q1,325
1,2010Q1,443
1,2013Q1,113
1,2010Q4,274
1,2013Q2,32
0,2011Q1,430
0,2011Q2,47
0,2012Q1,160
0,2013Q3,199
0,2013Q1,249
0,2011Q4,207
0,2013Q3,416
1,2011Q1,18
0,2010Q3,146
0,2010Q1,296
0,2010Q2,355
1,2012Q3,465
1,2011Q2,326
1,2012Q4,182
1,2011Q3,135
1,2011Q2,440
1,2012Q2,110
1,2013Q2,239
1,2012Q3,303
0,2010Q2,433
0,2012Q1,389
0,2013Q3,370
0,2013Q2,163
0,2012Q1,79
0,2010Q2,427
0,2013Q3,364
0,2013Q2,177
1,2010Q1,18
1,2011Q2,454
1,2012Q2,104
1,2012Q3,317
1,2012Q3,471
1,2013Q1,488
0,2011Q2,8
1,2011Q2,332
0,2013Q1,79
1,2011Q3,121
1,2012Q4,196
1,2010Q3,208
0,2013Q3,402
0,2010Q3,152
0,2010Q1,282
0,2010Q2,341
1,2012Q3,459
0,2013Q1,51
1,2010Q3,220
1,2013Q4,297
1,2011Q3,109
1,2011Q1,24
0,2011Q3,253
0,2011Q1,183
1,2013Q1,88
0,2010Q2,369
0,2012Q2,276
0,2012Q1,45
1,2010Q1,30
1,2013Q2,205
1,2011Q4,388
1,2010Q1,24
1,2011Q2,468
1,2013Q2,211
1,2012Q2,138
1,2012Q1,88
0,2013Q3,358
0,2012Q1,51
0,2012Q2,262
1,2011Q1,30
0,2010Q4,489
0,2011Q3,247
0,2011Q1,197
0,2013Q1,45
1,2013Q4,283
1,2010Q3,234
1,2012Q4,141
1,2013Q4,268
1,2011Q1,226
1,2011Q4,411
0,2013Q4,132
1,2013Q1,77
0,2010Q3,185
0,2010Q1,255
0,2010Q2,396
0,2010Q4,462
0,2010Q4,304
0,2012Q2,289
0,2010Q1,16
1,2013Q1,339
1,2011Q4,377
1,2012Q1,63
1,2011Q2,483
1,2012Q1,77
1,2011Q4,363
1,2011Q2,497
0,2010Q4,310
0,2010Q3,191
0,2011Q1,168
1,2013Q1,63
0,2013Q4,126
0,2010Q1,241
0,2010Q2,382
0,2012Q1,438
0,2010Q4,476
1,2012Q4,155
1,2011Q1,232
1,2011Q4,405
0,2012Q3,8
0,2011Q1,16
0,2011Q3,290
0,2010Q1,269
0,2012Q4,227
0,2011Q1,140
0,2012Q1,410
0,2013Q1,92
1,2013Q4,254
1,2010Q1,133
1,2013Q1,463
1,2013Q1,305
0,2010Q4,338
0,2012Q1,376
0,2012Q1,86
0,2012Q1,362
0,2012Q1,92
0,2013Q2,188
1,2013Q1,311
0,2013Q1,86
1,2013Q4,240
1,2012Q4,169
1,2010Q1,127
1,2011Q4,439
1,2013Q1,477
0,2012Q4,233
0,2011Q3,284
0,2011Q1,154
0,2012Q1,404
0,2010Q2,221
0,2013Q4,61
0,2011Q2,108
0,2012Q2,458
1,2010Q3,368
1,2011Q1,391
1,2011Q2,252
1,2011Q4,14
1,2012Q3,277
0,2012Q4,75
0,2013Q3,204
0,2013Q3,68
0,2010Q1,484
0,2013Q3,210
0,2012Q3,139
1,2010Q4,14
0,2010Q1,490
0,2011Q3,469
1,2012Q3,263
0,2012Q4,61
1,2013Q2,359
1,2011Q1,385
1,2011Q2,246
0,2012Q3,68
0,2010Q2,235
0,2013Q4,75
1,2010Q3,354
1,2013Q4,84
1,2010Q2,147
1,2013Q2,417
1,2011Q4,28
0,2012Q3,40
0,2011Q2,134
1,2010Q3,35
0,2011Q3,327
0,2012Q4,390
0,2012Q2,464
1,2012Q3,99
0,2012Q2,302
0,2012Q3,111
1,2012Q4,90
0,2013Q3,238
0,2011Q3,441
0,2013Q3,54
1,2013Q3,162
1,2013Q2,371
0,2012Q4,49
1,2011Q3,21
1,2013Q4,485
1,2010Q3,432
1,2013Q3,176
1,2013Q2,365
1,2011Q3,35
1,2013Q3,99
1,2010Q3,426
1,2013Q4,491
0,2012Q2,316
0,2012Q3,105
1,2012Q4,84
1,2010Q4,28
0,2011Q3,455
0,2013Q3,40
0,2011Q2,120
0,2013Q4,49
0,2010Q2,209
1,2010Q3,21
0,2012Q4,384
0,2011Q3,333
0,2012Q2,470
1,2010Q3,340
1,2013Q4,90
1,2010Q2,153
1,2013Q2,403
0,2012Q3,54
1,2011Q1,352
0,2010Q3,13
1,2011Q2,291
1,2012Q3,66
0,2010Q1,321
0,2012Q4,409
0,2010Q1,447
0,2010Q4,270
0,2011Q4,159
0,2013Q1,117
1,2013Q3,72
1,2011Q1,434
1,2011Q4,203
1,2012Q1,164
1,2013Q3,66
1,2011Q1,420
1,2013Q1,259
1,2011Q4,217
1,2012Q1,170
1,2013Q3,189
0,2010Q1,453
0,2010Q4,264
0,2013Q1,103
0,2011Q3,13
1,2012Q3,72
0,2010Q1,335
1,2013Q4,308
1,2011Q1,346
1,2011Q2,285
0,2011Q4,32
0,2012Q4,353
0,2012Q3,83
1,2010Q3,397
1,2013Q4,320
1,2013Q4,47
1,2010Q2,184
0,2010Q4,26
1,2011Q1,408
1,2013Q4,446
1,2012Q1,158
1,2010Q4,116
1,2013Q1,271
1,2012Q3,288
0,2012Q4,435
0,2011Q3,482
0,2013Q3,97
0,2011Q4,165
0,2012Q1,202
1,2012Q4,53
0,2011Q3,496
0,2012Q4,421
0,2013Q3,83
0,2011Q4,171
1,2012Q4,47
0,2010Q4,258
0,2012Q1,216
0,2010Q4,32
1,2013Q4,452
1,2010Q4,102
1,2013Q1,265
0,2012Q3,97
1,2013Q4,334
1,2010Q3,383
1,2013Q4,53
1,2010Q2,190
0,2011Q4,26
0,2010Q1,309
0,2012Q4,347
0,2011Q4,398
0,2013Q2,215
1,2012Q2,266
1,2012Q2,500
1,2010Q2,379
1,2011Q1,193
1,2011Q3,243
0,2012Q3,449
0,2011Q3,119
0,2010Q3,230
